DataSetName,DataSetNodeID,site,siteID,altitude,active,date,firstSlot,lastSlot,latitude,longitude,manufacturer,slotInterval,timeZone
GRDC Sites,15153,GRDC East Hyden - 54375,15283,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Karradale - 54369,15414,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Mt Heywood- 54950,15383,0.0,false,20170814T09:11:47,20170708T00:15:00,20170814T09:15:00,-33.4281,122.614,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Non-wetting Trial - 54951,15314,0.0,false,20170522T19:12:43,20170411T22:15:00,20170522T19:00:00,-33.4246,119.631,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Redman- 54945,15175,0.0,false,20161122T06:59:05,19700101T08:00:00,19700101T08:00:00,-33.8534,120.227,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Stoneyfell - 54934,15154,0.0,false,20170814T09:12:11,20170708T00:15:00,20170814T09:00:00,-32.8074,121.692,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,GRDC Wilaust - 54352,15221,0.0,false,20170814T09:13:13,20170708T00:15:00,20170814T09:00:00,-33.4282,121.134,Adcon Telemetry,900,Australia/Perth
GRDC Sites,15153,Northern Mallee - 53125,15117,0.0,true,20171017T13:48:00,19700101T08:00:00,19700101T08:00:00,-33.0385,121.64,Adcon Telemetry,900,Australia/Perth
