SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
OzNet_a1,TRUE,Oz_a1_ST_4_4,Oz_a1_ST_4_4,,,Soil-Temperature,4,4,TRUE,DegreesCelcius
OzNet_a1,TRUE,Oz_a1_ST_15_15,Oz_a1_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_a1,TRUE,Oz_a1_ST_45_45,Oz_a1_ST_45_45,,,Soil-Temperature,45,45,TRUE,DegreesCelcius
OzNet_a1,TRUE,Oz_a1_ST_75_75,Oz_a1_ST_75_75,,,Soil-Temperature,75,75,TRUE,DegreesCelcius
OzNet_a1,TRUE,Oz_a1_SM_0_7,Oz_a1_SM_0_7,,,Soil-Moisture,0,7,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SM_0_30,Oz_a1_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SM_30_60,Oz_a1_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SM_60_90,Oz_a1_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SS_4_4,Oz_a1_SS_4_4,,,Soil-Suction,4,4,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SS_15_15,Oz_a1_SS_15_15,,,Soil-Suction,15,15,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SS_45_45,Oz_a1_SS_45_45,,,Soil-Suction,45,45,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_SS_75_75,Oz_a1_SS_75_75,,,Soil-Suction,75,75,TRUE,Percent
OzNet_a1,TRUE,Oz_a1_RF_0_0,Oz_a1_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_a2,TRUE,Oz_a2_ST_4_4,Oz_a2_ST_4_4,,,Soil-Temperature,4,4,TRUE,DegreesCelcius
OzNet_a2,TRUE,Oz_a2_ST_15_15,Oz_a2_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_a2,TRUE,Oz_a2_ST_45_45,Oz_a2_ST_45_45,,,Soil-Temperature,45,45,TRUE,DegreesCelcius
OzNet_a2,TRUE,Oz_a2_ST_75_75,Oz_a2_ST_75_75,,,Soil-Temperature,75,75,TRUE,DegreesCelcius
OzNet_a2,TRUE,Oz_a2_SM_0_7,Oz_a2_SM_0_7,,,Soil-Moisture,0,7,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SM_0_30,Oz_a2_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SM_30_60,Oz_a2_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SM_60_90,Oz_a2_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SS_4_4,Oz_a2_SS_4_4,,,Soil-Suction,4,4,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SS_15_15,Oz_a2_SS_15_15,,,Soil-Suction,15,15,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SS_45_45,Oz_a2_SS_45_45,,,Soil-Suction,45,45,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_SS_75_75,Oz_a2_SS_75_75,,,Soil-Suction,75,75,TRUE,Percent
OzNet_a2,TRUE,Oz_a2_RF_0_0,Oz_a2_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_a3,TRUE,Oz_a3_ST_4_4,Oz_a3_ST_4_4,,,Soil-Temperature,4,4,TRUE,DegreesCelcius
OzNet_a3,TRUE,Oz_a3_ST_15_15,Oz_a3_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_a3,TRUE,Oz_a3_ST_45_45,Oz_a3_ST_45_45,,,Soil-Temperature,45,45,TRUE,DegreesCelcius
OzNet_a3,TRUE,Oz_a3_ST_75_75,Oz_a3_ST_75_75,,,Soil-Temperature,75,75,TRUE,DegreesCelcius
OzNet_a3,TRUE,Oz_a3_SM_0_7,Oz_a3_SM_0_7,,,Soil-Moisture,0,7,TRUE,Percent
